┾┼┼╄┽╀┾,pod_petroleum
┾┼┼┽╄╀╂,electrofish
┾┼┼╄┾┼╆,psychoanalyze
┾┼┼╂╇┾╊,scouting
┾┼┼┽┿┼┾,snatching_food
┾┼┼╊╀╁╂,alluring
┾┼┼╁╇╄╀,infrared_sensitive
┾┼┼┼╀╆╃┼┿,daydreaming
┾┼┼┾┽┼┿,governing
┾┼┼┼┼┼┿,recruiting
┾┼┼╆╂┼╄,geolocating
┾┼┼┾┿┼╇,architecting
┾┼┼╃╄╄╇,contrasting
┾┼┼╁╇╆┾╀╂,voiding
┾┼┼╁╇╂╁,filming
┾┼┼┼╆┾┽,land_flattening
┾┼┼╇╀╁┾,provocative
┾┼┼┼┾╁┿,depressed
┾┼┼╄╃╀╂,fish_rotting
┾┼┼╊┼┼╃,investing
┾╀┼╂╁╂╇╂,zen
┾╀┼╃┼┼┽,preaching
╄┼╃,unfortunately
╄┼╊,inefficiently
╄┼┾,slowly
╄┼╇,endlessly
╄┼╀,carelessly
╄┼┽,fortunately
╄┼╂,imperfectly
╄┼╁,perfectly
╄┼┼,carefully
╄┼╆,efficiently
╄┼┿,briefly
╄┼╄,fastly
╄╀┾,sometimes
╄╄╆,exceedingly
╄┾╄,probably
╄╁╀,recently
╄╄┼,hardly
╄┾╁,likely
╄┾┾,possibly
╄╁╄,currently
╄╁╁,soon
╄╄╂,fully
╄╁╆,ultimately
╄╁╂,eventually
╄╁┼,anciently
╄┾╂,certainly
╄╀╄,regularly
╄╄┾,mediocrely
╄╄╄,nearly
╄╄╀,somewhat
┼╀╀┾┼┼╊,trade_tower
┼╀╀╊╀┼┾,parlour
┼╀╀╂╀┼┼,corruption_den
┼╀╀┼╀╀┿,ultimate_art_gallery
┼╀╀╇┼╀┾,great_eye_of_war
┼╀╀╆┼┼┽,university
┼╀╀╊╀╀┽,call_center
┼╀╀╃╀┼╂,head_office
┼╀╀┽╀┼╁,farm
┼╀╀┾╀┼╇,shopping_mall
┼╀╀╄╀╀╀,hospital
┼╀╀╃┼╀╀,government_ministry
┼╀╀┿┼┼╆,forge
┼╀╀┽┼┼╃,dam
┼╀╀╇┼┼╆,castle
┼╀╀╀┼╀┼,underworld
┼╀╀┼╀┼╊,art_gallery
┼╀╀┾┼┼┿,bank
┼╀╀╀╀┼╂,manor_of_the_lost_souls
┼╀╀╁╀╀╇,housing_estate
┼╀╀┽┼┼╀,shed
┼╀╀╄╀┼┿,hospital
┼╀╀┽╀┼╀,cave
┼╀╀╃┼┼┼,underground_war_rooms
┼╀╀╂╀┼┽,prison
┼╀╀┾╀┼┾,shop
┼╀╀┾┼┼┾,market_stall
┼╀╀╊╀┼╂,post_office
┼╀╀╁┼┼╆,hotel
┼┼╆┾┼┼,high_altitude_balloon
┼┼╁┼,fear
┼┼╂╃,heat
┼┼╂┽,sexual_arousal
┼┼╂╂,perfume
┼┼╁╁,charm
┼┼┾╃,river
┼┼╄╇,white
┼┼┾┾,forest
┼┼╁╂,desire
┼┼┼╃,money
┼┼╀╂,fish
┼┼╀╇,spider
┼┼┼╊,transportation
┼┼╁┿,sorrow
┼┼╂╆,taste
┼┼╆╀╀┽,ship
┼┼┾╆,ocean
┼┼╀┽,mollusc
┼┼╆┽╀╀,magic_portal
┼┼╆┽┼┼,magic_void
┼┼╁╄,bored
┼┼╄╄,orange
┼┼╂╊,touch
┼┼╆╂╀╁,time_travel
┼┼╀╊,mammal
┼┼╁╀,angry
┼┼╀┼,amphibian
┼┼╆╄╀╁,fire_travel
┼┼┾╇,valley
┼┼╆┿╀╇,energy_field_travel
┼┼┾╁,mountain
┼┼┾╊,openground
┼┼┼╆,sentiment
┼┼╀┾,arthropod
┼┼╂╁,sight
┼┼╁┾,annoyed
┼┼┾╄,hill
┼┼╆┽┼╇,magic_portal
┼┼┼╄,any_landscape
┼┼╆╃┼╄,dream_travel
┼┼╄╊,blue
┼┼╄┿,farultraviolet
┼┼╀╀,annelid
┼┼╀┿,reptile
┼┼╁╊,happy
┼┼┾┼,canyon
┼┼╆┼┼╂,underpass
┼┼╆╆╀╂,ski
┼┼╁╆,dissatisfied
┼┼╂┿╀,infrared_sensitivity
┼┼╆╆┼╃,snowbike
┼┼╂╇┿,magnetoreception
┼┼╄╆,cyan
┼┼╆┽┼┾,mirror_image
┼┼╄╀,infrared
┼┼╄╁,yellow
┼┼╂┿┿,far_ultraviolet
┼┼╂┿╂,green
┼┼╄┼,black
┼┼╂┿╄,orange
┼┼╂┿┽,violet
┼┼╂┿╁,yellow_sensitivity
┼┼╂┿┾,red_sensitivity
┼┼╂┿╊,blue_sensitivity
┼┼╂┿╃,near_ultra_violet_sensitivity
┼┼╂┿┼,black_sensitivity
┼┼╂┿╇,white_sensitivity
┼┼╂┿╆,cyan_sensitivity
┼┼┾╂,oasis
┼┼┾╀,desert
┼┼┼┽,belief
┼┼┼╇,place
┼┼┼╁,any_organic
┼┼┼╂,any_sensation
┼┼╀╃,plant
┼┼╀╄,bird
┼┼╀╁,echinoderm
┼┼╁╃,madness
┼┼╁┽,jealousy
┼┼╂┼,balance
┼┼╂╇╆,ice_sensative
┼┼╂┾,hearing
┼┼╂╄,pain
┼┼╂╇┽,magic_awareness
┼┼╂╇╊,biosense
┼┼╂╇╄,firesense
┼┼╂╇╁,voidsense
┼┼╂╇╃,dreamwalker
┼┼╂╇╀,watersense
┼┼╂╇┼,earthsense
┼┼╂╇╂,timesense
╆┾╂,since
╆╀┾,but
╆╀╂,therefore
╆┾╄,before
╆┾╆,until
╆┾┾,where
╆┾╊,once
╆┼╆,unless
╆┼╁,xor
╆╀┼,if
╆┾╁,after
╆┼╂,except
╆┼╊,whether
